Average Weekday Subway Ridership,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank,,,,,,,,
25 St (R),,B,"3,788","4,547","3,755","3,738","1,618","1,979",361,22.3%,332,,,,,,,,
"36 St (D,N,R)",,B,"13,180","13,894","13,493","13,342","6,008","7,507","1,499",24.9%,80,,,,,,,,
"4 Av (F,G)/9 St (R)",,B,"13,116","13,962","12,560","12,563","4,785","6,036","1,251",26.2%,113,,,,,,,,
45 St (R),,B,"7,055","7,877","7,205","7,755","3,371","4,180",809,24.0%,180,,,,,,,,
50 St (D),,B,"3,336","3,236","3,195","3,246","1,722","1,958",236,13.7%,334,,,,,,,,
53 St (R),9,B,"7,386","3,788","7,565","8,812","4,286","4,985",699,16.3%,146,,,,,,,,
55 St (D),,B,"2,223","2,106","2,185","2,141","1,095","1,216",120,11.0%,395,,,,,,,,
"59 St (N,R)",,B,"13,144","16,759","12,301","11,240","5,158","6,938","1,779",34.5%,91,,,,,,,,
"7 Av (B,Q)",,B,"9,731","10,270","10,210","10,209","3,282","4,258",976,29.7%,177,,,,,,,,
"7 Av (F,G)",,B,"11,897","11,801","11,636","11,880","4,224","5,423","1,200",28.4%,131,,,,,,,,
71 St (D),,B,"6,501","5,905","5,607","5,499","2,280","2,500",219,9.6%,288,,,,,,,,
77 St (R),,B,"5,720","6,746","5,612","5,595","2,265","2,671",406,17.9%,274,,,,,,,,
79 St (D),,B,"6,973","6,565","6,177","6,225","2,605","3,095",490,18.8%,242,,,,,,,,
8 Av (N),,B,"14,201","12,514","11,474","11,608","4,296","5,346","1,050",24.5%,137,,,,,,,,
86 St. (N),10,B,"1,298","1,534","1,928","2,224","1,095","1,324",229,20.9%,382,,,,,,,,
86 St. (R),,B,"12,078","11,742","11,338","11,233","4,890","5,942","1,052",21.5%,116,,,,,,,,
9 Av (D),,B,"5,867","5,471","5,344","5,406","2,522","2,916",393,15.6%,254,,,,,,,,
Alabama Av (J),,B,"2,585","2,424","2,147","2,089","1,068","1,187",119,11.2%,396,,,,,,,,
Atlantic Av (L),11,B,"1,455","1,821","1,842","1,593",772,929,157,20.3%,405,,,,,,,,
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,"42,711","42,095","43,211","43,498","16,599","19,374","2,775",16.7%,16,,,,,,,,
Avenue H (Q),,B,"3,183","3,329","3,418","3,354","1,282","1,325",43,3.4%,381,,,,,,,,
Avenue I (F),12,B,"1,962","1,111","1,096","1,988",922,"1,050",127,13.8%,400,,,,,,,,
Avenue J (Q),,B,"6,136","6,154","6,058","5,826","2,565","3,063",498,19.4%,245,,,,,,,,
Avenue M (Q),,B,"6,052","6,094","6,001","5,678","2,503","3,085",582,23.3%,244,,,,,,,,
Avenue N (F),13,B,"3,187","2,217","2,087","2,961","1,389","1,528",139,10.0%,366,,,,,,,,
Avenue P (F),14,B,"2,688","1,821","1,710","2,463","1,165","1,316",151,13.0%,385,,,,,,,,
Avenue U (F),15,B,"2,578","1,276","1,042","1,838",863,987,124,14.4%,402,,,,,,,,
Avenue U (N),16,B,"1,399","2,285","2,627","3,156","1,530","2,005",476,31.1%,330,,,,,,,,
Avenue U (Q),,B,"7,384","7,391","7,323","7,262","3,077","3,698",621,20.2%,198,,,,,,,,
Avenue X (F),17,B,"2,424","2,508","2,662","2,530","1,173","1,256",83,7.1%,392,,,,,,,,
Bay 50 St (D),,B,"3,176","2,926","2,674","2,662","1,117","1,384",268,24.0%,376,,,,,,,,
Bay Pkwy (D),,B,"8,069","7,837","7,719","7,723","3,419","3,795",376,11.0%,195,,,,,,,,
Bay Pkwy (F),18,B,"1,329",729,623,"1,193",576,684,109,18.9%,413,,,,,,,,
Bay Pkwy (N),,B,"10,955","9,328","7,261","6,565","2,881","3,644",764,26.5%,207,,,,,,,,
Bay Ridge Av (R),19,B,"8,415","4,173","7,236","7,677","3,243","3,918",675,20.8%,189,,,,,,,,
Bay Ridge-95 St (R),,B,"6,090","5,969","5,812","5,847","2,418","2,716",298,12.3%,267,,,,,,,,
Bedford Av (L),,B,"27,486","27,783","26,603","25,158","8,679","13,543","4,863",56.0%,29,,,,,,,,
Bedford-Nostrand Avs (G),,B,"8,487","8,741","8,821","8,866","3,289","4,224",935,28.4%,178,,,,,,,,
"Bergen St (2,3)",,B,"3,884","3,853","3,653","3,857","1,326","1,621",295,22.3%,358,,,,,,,,
"Bergen St (F,G)",,B,"11,529","11,306","11,174","11,310","3,865","5,011","1,146",29.6%,145,,,,,,,,
Beverley Rd (Q),,B,"3,059","3,267","3,350","3,410","1,435","1,732",297,20.7%,350,,,,,,,,
"Beverly Rd (2,5)",,B,"4,464","4,384","4,255","4,277","1,947","2,213",266,13.6%,313,,,,,,,,
"Brighton Beach (B,Q)",,B,"13,035","12,587","12,065","11,841","5,192","5,990",798,15.4%,115,,,,,,,,
Broadway (G),,B,"4,340","4,452","4,467","4,639","2,210","2,658",448,20.3%,276,,,,,,,,
"Broadway Junction (A,C,J,L,Z)",,B,"9,189","8,681","8,142","7,813","3,787","3,882",94,2.5%,190,,,,,,,,
Bushwick Av-Aberdeen St (L),,B,"2,105","2,112","2,079","2,015",948,"1,257",309,32.6%,391,,,,,,,,
Canarsie-Rockaway Pkwy (L),,B,"13,131","12,661","11,947","11,060","4,376","3,582",-794,-18.1%,211,,,,,,,,
"Carroll St (F,G)",,B,"11,848","11,723","11,562","11,814","4,068","5,152","1,084",26.6%,141,,,,,,,,
Central Av (M),20,B,"3,884","1,929","2,393","4,473","1,813","2,013",199,11.0%,329,,,,,,,,
"Chauncey St (J,Z)",,B,"3,360","3,408","3,387","3,246","1,436","1,618",182,12.7%,359,,,,,,,,
"Church Av (2,5)",,B,"9,808","9,512","9,193","9,556","4,270","4,906",636,14.9%,151,,,,,,,,
"Church Av (B,Q)",,B,"17,482","17,186","16,528","16,251","7,029","8,066","1,036",14.7%,74,,,,,,,,
"Church Av (F,G)",21,B,"10,151","9,697","9,492","9,395","4,145","4,910",765,18.5%,150,,,,,,,,
"Clark St (2,3)",,B,"5,903","5,635","5,275","5,590","1,741","1,887",146,8.4%,339,,,,,,,,
Classon Av (G),,B,"4,996","5,106","5,301","5,453","2,070","2,766",696,33.6%,261,,,,,,,,
Cleveland St (J),,B,"3,483","3,270","2,975","2,935","1,381","1,448",68,4.9%,373,,,,,,,,
Clinton-Washington Avs (C),,B,"6,932","7,130","7,068","7,139","2,341","2,868",527,22.5%,258,,,,,,,,
Clinton-Washington Avs (G),,B,"5,312","5,083","5,025","5,208","1,810","2,487",677,37.4%,290,,,,,,,,
"Coney Island-Stillwell Av (D,F,N,Q)",,B,"14,098","13,542","13,203","12,819","5,496","6,607","1,112",20.2%,97,,,,,,,,
Cortelyou Rd (Q),,B,"6,332","6,348","6,276","6,319","2,624","3,114",490,18.7%,241,,,,,,,,
"Court St (R)/Borough Hall (2,3,4,5)",,B,"38,089","36,762","35,599","34,939","11,425","12,377",952,8.3%,35,,,,,,,,
"Crescent St (J,Z)",,B,"5,053","4,842","4,539","4,463","2,138","2,321",184,8.6%,304,,,,,,,,
"Crown Heights-Utica Av (3,4)",,B,"29,069","28,980","25,336","25,331","11,675","12,614",939,8.0%,33,,,,,,,,
Cypress Hills (J),,B,"1,501","1,501","1,457","1,474",715,819,104,14.6%,409,,,,,,,,
"DeKalb Av (B,Q,R)",,B,"18,774","21,230","22,069","22,000","7,782","8,949","1,167",15.0%,64,,,,,,,,
DeKalb Av (L),,B,"12,307","13,050","12,638","11,214","5,017","6,526","1,509",30.1%,101,,,,,,,,
Ditmas Av (F),22,B,"3,524","3,849","3,904","3,947","1,900","2,222",322,16.9%,312,,,,,,,,
East 105 St (L),,B,"4,070","3,999","3,798","3,367","1,605","1,634",30,1.8%,357,,,,,,,,
"Eastern Pkwy-Brooklyn Museum (2,3)",,B,"4,719","4,592","4,637","4,036","1,292","1,946",654,50.6%,336,,,,,,,,
"Euclid Av (A,C)",,B,"10,870","10,751","10,191","10,119","4,771","4,919",148,3.1%,149,,,,,,,,
"Flatbush Av-Brooklyn College (2,5)",,B,"21,268","20,691","19,763","19,572","7,894","8,442",548,6.9%,70,,,,,,,,
Flushing Av (G),,B,"2,857","2,866","2,949","2,466","1,330","1,837",507,38.1%,344,,,,,,,,
"Flushing Av (J,M)",,B,"9,347","8,952","8,336","8,623","3,939","4,426",488,12.4%,172,,,,,,,,
Fort Hamilton Pkwy (D),,B,"4,420","4,162","3,936","3,983","2,008","2,387",379,18.9%,298,,,,,,,,
"Fort Hamilton Pkwy (F,G)",,B,"6,044","5,893","5,807","5,877","2,015","2,628",613,30.4%,279,,,,,,,,
Fort Hamilton Pkwy (N),23,B,"1,771","3,196","3,232","4,468","2,469","3,130",660,26.7%,239,,,,,,,,
